eps,mu,ra,fn
47.658,38.917,0.88836,1.4396
70.581,31.248,0.3207,1.1613
99.215,14.353,0.68956,1.5376
114.89,35.271,0.68107,1.9914
102.34,15.06,0.16667,1.9286
177.57,15.372,0.43695,1.1166
113.25,13.944,0.31152,1.9314
189.85,15.681,0.73084,0.31969
134.79,16.73,0.31922,0.19775
192.38,17.85,0.90139,0.67826
63.327,22.699,0.83525,1.2024
141.7,22.657,0.42053,1.1088
72.032,18.703,0.52301,1.8123
140.93,20.042,0.71006,1.127
145.13,45.717,0.84265,0.92076
32.239,38.129,0.62915,1.1311
65.862,32.23,0.596,1.4536
60.327,17.377,0.35974,0.13168
140.21,18.481,0.4836,1.6217
171.99,13.094,0.72811,0.37077
82.003,46.552,0.89018,1.0091
160.49,38.269,0.73481,0.58799
141.56,32.312,0.067682,0.80127
21.209,22.537,0.69104,1.3574
128.39,16.648,0.46658,0.42226
89.619,34.9,0.46593,0.62969
184.88,49.517,0.16118,0.47662
20.207,16.817,0.82395,0.47064
103.24,20.312,0.35861,0.721
96.383,25.872,0.28392,1.7726
102.96,12.96,0.37558,0.99509
158.63,37.364,0.40691,0.86754
78.045,26.096,0.56923,0.44054
161.25,49.313,0.58382,1.941
104.84,26.087,0.42603,0.87417
26.437,34.827,0.42822,1.7045
51.657,16.175,0.5396,1.2691
149.92,25.254,0.67465,0.81556
105.23,16.445,0.95337,1.7666
47.49,40.324,0.73623,1.5912
81.402,44.844,0.43008,0.98341
129.33,24.031,0.84028,1.6466
54.514,37.421,0.17762,1.807
152.92,21.766,0.10744,0.91555
63.713,31.225,0.13003,0.73523
185.14,43.297,0.2057,1.2336
68.431,33.9,0.35801,1.8138
157.79,23.412,0.33664,1.4339
53.959,21.969,0.061097,0.81716
71.75,28.104,0.56291,1.4964
36.4,26.906,0.1406,1.9128
123.72,24.384,0.18919,1.1313
143.01,32.333,0.64958,1.1262
118.39,39.702,0.86635,0.69111
96.631,26.973,0.97551,0.23535
136,27.174,0.5923,0.44576
136.57,14.995,0.99701,0.27668
142.22,10.977,0.57586,0.98063
134.44,21.607,0.53969,0.11773
190.13,22.701,0.36415,1.8385
57.608,36.148,0.4585,1.3212
147.67,48.277,0.51722,0.1027
62.522,47.429,0.11749,0.15773
41.491,28.315,0.89335,0.49609
129.31,19.619,0.1114,0.96444
101.02,40.556,0.46438,0.34181
102.57,40.373,0.8353,0.11643
139.15,39.626,0.42481,1.4815
158.65,39.748,0.6328,0.77282
83.039,14.237,0.82771,1.5828
139.16,37.262,0.89192,0.92965
94.909,28.53,0.93456,0.92945
171.55,18.487,0.23125,0.19351
169.93,13.941,0.29565,0.1943
66.159,42.943,0.90297,0.27309
130.42,17,0.61369,1.2287
124.8,16.543,0.52865,0.55806
117.33,36.639,0.63217,1.6986
176.59,45.776,0.82845,1.7287
67.66,30.662,0.55529,1.9309
77.253,38.108,0.24197,1.0289
41.459,16.144,0.4812,0.51859
189.17,48.138,0.45652,0.5298
136.2,31.635,0.96775,1.1199
106.3,37.189,0.63905,1.548
135.08,11.463,0.71062,0.76038
118.05,42.368,0.73416,0.97634
136.52,39.945,0.37955,1.3147
117.9,14.807,0.54114,1.8429
149.79,31.002,0.57886,0.40699
114.05,23.033,0.19867,1.4597
198.87,31.858,0.58395,1.1977
59.362,25.955,0.71006,0.92327
39.044,26.604,0.45513,1.7801
39.746,17.23,0.84446,0.8468
31.446,20.215,0.74482,0.44005
92.824,10.821,0.39203,1.3033
100.71,46.947,0.4815,1.2856
85.847,36.148,0.41707,0.72309
157.43,47.305,0.78678,1.6256
133.02,16.54,0.74756,1.999
158.96,46.844,0.45876,1.9639
187.91,41.786,0.70906,0.34137
195.09,33.096,0.94795,0.54126
54.565,27.601,0.79502,0.1449
44.997,20.305,0.72029,1.2541
145.33,40.078,0.15387,0.31054
36.888,19.147,0.42043,0.87417
114.57,12.567,0.61136,1.7797
115.46,40.693,0.48641,1.1415
175.01,36.848,0.097823,0.80111
